,A31,A32,A33,B21,B22,C41,C42,C43,C44
AR,occluded,occluded,occluded,ok,ok,int,occluded,occluded,occluded
AU,occluded,centre,ok,occluded,occluded,occluded,occluded,occluded,occluded
BR,ok,ok,ok,ok,ok,int,int,occluded,int
CA,occluded,centre,ok,occluded,occluded,int,int,occluded,occluded
CH,ok,ok,ok,occluded,occluded,occluded,occluded,occluded,occluded
FR,occluded,occluded,ok,occluded,occluded,int,occluded,int,occluded
DE,occluded,centre,occluded,occluded,occluded,ok,mean,ok,mean
IN,ok,occluded,ok,ok,ok,occluded,occluded,occluded,occluded
ID,occluded,ok,ok,ok,ok,occluded,int,occluded,occluded
IT,occluded,centre,ok,occluded,occluded,occluded,occluded,occluded,occluded
JP,ok,occluded,ok,occluded,ok,occluded,occluded,occluded,occluded
KR,ok,ok,ok,ok,ok,occluded,occluded,int,occluded
MX,ok,ok,ok,ok,ok,int,int,occluded,int
RU,ok,ok,ok,ok,ok,occluded,occluded,int,occluded
SA,ok,ok,ok,occluded,occluded,int,int,int,int
ZA,occluded,ok,ok,occluded,occluded,int,int,int,int
TR,ok,occluded,ok,ok,occluded,int,int,int,int
GB,occluded,occluded,occluded,occluded,occluded,ok,ok,ok,ok
US,occluded,occluded,ok,ok,ok,ok,ok,ok,ok
