,A31,A32,A33,B21,B22,C41,C42,C43,C44
AR,ok,ok,ok,ok,ok,int,occluded,int,int
AU,occluded,centre,ok,ok,occluded,int,occluded,int,occluded
BR,ok,ok,ok,occluded,occluded,occluded,occluded,occluded,int
CA,occluded,centre,ok,occluded,ok,int,occluded,int,int
CH,ok,ok,ok,ok,ok,int,int,int,int
FR,occluded,occluded,ok,occluded,ok,occluded,int,occluded,int
DE,occluded,centre,ok,occluded,ok,mean,mean,mean,mean
IN,ok,ok,ok,ok,ok,int,int,int,occluded
ID,ok,ok,ok,ok,ok,int,int,int,int
IT,occluded,centre,ok,ok,ok,int,int,int,int
JP,occluded,occluded,ok,ok,ok,int,int,int,int
KR,ok,ok,ok,ok,ok,int,int,int,int
MX,occluded,occluded,ok,ok,ok,int,occluded,int,int
RU,ok,ok,ok,ok,ok,int,int,int,int
SA,ok,ok,ok,ok,ok,occluded,int,int,int
ZA,ok,ok,ok,ok,occluded,occluded,int,int,occluded
TR,ok,ok,ok,ok,ok,int,int,int,int
GB,occluded,occluded,ok,ok,ok,int,occluded,int,int
US,occluded,occluded,ok,occluded,occluded,mean,mean,mean,int
